,Allocation point 1 - Imbalance shortage,Allocation point 1 - Imbalance surplus
2021-01-06 13:45:00+00:00,0.0,9.0615
2021-01-06 14:00:00+00:00,0.0,0.0
2021-01-06 14:15:00+00:00,0.0,3.34
2021-01-06 14:30:00+00:00,0.0,10.497333333
2021-01-06 14:45:00+00:00,0.0,1.0315
2021-01-06 15:00:00+00:00,-2.8795,0.0
2021-01-06 15:15:00+00:00,0.0,83.66085
2021-01-06 15:30:00+00:00,0.0,0.0
2021-01-06 15:45:00+00:00,-7.057333333,0.0
2021-01-06 16:00:00+00:00,0.0,35.823470833
2021-01-06 16:15:00+00:00,-5.266,0.0
2021-01-06 16:30:00+00:00,0.0,16.268729167
2021-01-06 16:45:00+00:00,0.0,0.0
2021-01-06 17:00:00+00:00,1.118333333,0.0
2021-01-06 17:15:00+00:00,-6.5575,0.0
2021-01-06 17:30:00+00:00,-9.3925,0.0
2021-01-06 17:45:00+00:00,-8.6425,0.0
2021-01-06 18:00:00+00:00,0.0,7.172
2021-01-06 18:15:00+00:00,-0.652,0.0
2021-01-06 18:30:00+00:00,0.0,1.605333333
2021-01-06 18:45:00+00:00,0.0,0.0
2021-01-06 19:00:00+00:00,0.0,1.9385
2021-01-06 19:15:00+00:00,0.0,0.504833333
2021-01-06 19:30:00+00:00,-6.0125,0.0
2021-01-06 19:45:00+00:00,-4.781833333,0.0
2021-01-06 20:00:00+00:00,0.0,5.580666667
2021-01-06 20:15:00+00:00,0.0,9.9015
2021-01-06 20:30:00+00:00,-0.728333333,0.0
2021-01-06 20:45:00+00:00,-2.786666667,0.0
2021-01-06 21:00:00+00:00,0.0,12.621
2021-01-06 21:15:00+00:00,0.0,7.414
2021-01-06 21:30:00+00:00,-7.895333333,0.0
2021-01-06 21:45:00+00:00,-1.348,0.0
2021-01-06 22:00:00+00:00,0.0,0.0
2021-01-06 22:15:00+00:00,0.0,1.256666667
2021-01-06 22:30:00+00:00,-3.263,0.0
2021-01-06 22:45:00+00:00,-2.936,0.0
2021-01-06 23:00:00+00:00,0.0,2.786666667
2021-01-06 23:15:00+00:00,-1.822,0.0
2021-01-06 23:30:00+00:00,-1.272,0.0
2021-01-06 23:45:00+00:00,-3.995333333,0.0
2021-01-07 00:00:00+00:00,0.0,0.538833333
2021-01-07 00:15:00+00:00,1.29,0.0
2021-01-07 00:30:00+00:00,-0.325,0.0
2021-01-07 00:45:00+00:00,-0.65,0.0
2021-01-07 01:00:00+00:00,0.0,3.644
2021-01-07 01:15:00+00:00,0.0,1.062333333
2021-01-07 01:30:00+00:00,-1.0,0.0
2021-01-07 01:45:00+00:00,0.0,2.12
2021-01-07 02:00:00+00:00,0.0,2.458
2021-01-07 02:15:00+00:00,0.0,0.6785
2021-01-07 02:30:00+00:00,0.0,0.0
2021-01-07 02:45:00+00:00,0.0,2.2
2021-01-07 03:00:00+00:00,0.0,3.833333333
2021-01-07 03:15:00+00:00,0.0,4.036666667
2021-01-07 03:30:00+00:00,0.0,4.79
2021-01-07 03:45:00+00:00,0.0,6.386666667
2021-01-07 04:00:00+00:00,-4.024166667,0.0
2021-01-07 04:15:00+00:00,-2.968,0.0
2021-01-07 04:30:00+00:00,-1.049,0.0
2021-01-07 04:45:00+00:00,0.0,0.0
2021-01-07 05:00:00+00:00,28.14,0.0
2021-01-07 05:15:00+00:00,2.621333333,0.0
2021-01-07 05:30:00+00:00,-10.7175,0.0
2021-01-07 05:45:00+00:00,1.018,0.0
2021-01-07 06:00:00+00:00,12.205458449,0.0
2021-01-07 06:15:00+00:00,0.0,0.0
2021-01-07 06:30:00+00:00,0.0,1.5575
2021-01-07 06:45:00+00:00,0.0,2.159333333
2021-01-07 07:00:00+00:00,11.453370268,0.0
2021-01-07 07:15:00+00:00,0.0,4.318666667
2021-01-07 07:30:00+00:00,0.0,3.21
2021-01-07 07:45:00+00:00,0.0,21.96
2021-01-07 08:00:00+00:00,0.0,4.0125
2021-01-07 08:15:00+00:00,-2.0325,0.0
2021-01-07 08:30:00+00:00,0.0,0.0
2021-01-07 08:45:00+00:00,0.0,0.0
